b'http://dbpedia.org/property/red',"['Red', 'scarlet', 'vermilion', 'ruby', 'ruby-red', 'ruby-coloured', 'cherry', 'cherry-red', 'cerise', 'cardinal', 'carmine', 'wine', 'wine-red', 'wine-coloured', 'claret', 'claret-red', 'claret-coloured', 'blood-red']"
b'http://dbpedia.org/property/rel',['rel']
b'http://dbpedia.org/property/ret',['RET']
b'http://dbpedia.org/property/reW',['RE W']
b'http://dbpedia.org/property/announcer',"['announcer', 'presenter', 'anchorman', 'anchorwoman', 'anchor']"
b'http://dbpedia.org/property/blockName',['Block Name']
b'http://dbpedia.org/property/attend',"['attend', 'be present at', 'be at', 'be there at', 'sit in on', 'take part in']"
b'http://dbpedia.org/property/programmes',['programmes']
b'http://dbpedia.org/property/lon35Deg',['lon35 deg']
b'http://dbpedia.org/property/finalRank',['final rank']
b'http://dbpedia.org/property/hm3Exit',['hm3-exit']
b'http://dbpedia.org/property/otherCities',['other cities']
b'http://dbpedia.org/property/heightin',['heightin']
b'http://dbpedia.org/property/heightIn',['height in']
b'http://dbpedia.org/property/seats8Title',['seats8 title']
b'http://dbpedia.org/property/usnwrGu',['USNWR GU']
b'http://dbpedia.org/property/areaTotalSqAcre',['area total sq acre']
b'http://dbpedia.org/property/mandate',"['mandate', 'authority', 'approval', 'acceptance', 'ratification', 'endorsement']"
b'http://www.starwoodhotels.com/stregis/property/overview/history.html?propertyID=193',[]
b'http://dbpedia.org/property/productNames',['product names']
b'http://dbpedia.org/property/microphylum',['microphylum']
